,Mean,Median,Min,Max,MinIdx,MaxIdx,StdDev,Total Steps
value_y,5.0256944444444445,0.0,0.0,106.0,0 days 00:00:00,0 days 08:01:00,14.184382207696135,7237.0
value_x,5.472916666666666,0.0,0.0,105.0,0 days 00:00:00,0 days 08:04:00,14.704760513458401,7881.0
value_y,3.8493055555555555,0.0,0.0,89.0,0 days 00:00:00,0 days 09:46:00,11.452421422211803,5543.0
value_x,3.8854166666666665,0.0,0.0,105.0,0 days 00:00:00,0 days 07:40:00,12.478309011869015,5595.0
value_y,4.352777777777778,0.0,0.0,110.0,0 days 00:00:00,0 days 14:08:00,13.222025259876819,6268.0
value_x,4.872916666666667,0.0,0.0,106.0,0 days 00:00:00,0 days 07:17:00,13.675524663020978,7017.0
value_y,5.06875,0.0,0.0,108.0,0 days 00:00:00,0 days 20:19:00,13.639766131357884,7299.0
value_x,4.968055555555556,0.0,0.0,104.0,0 days 00:00:00,0 days 07:24:00,13.65525429310202,7154.0
value_y,4.286111111111111,0.0,0.0,84.0,0 days 00:00:00,0 days 13:44:00,11.959571758720962,6172.0
value_x,4.010416666666667,0.0,0.0,89.0,0 days 00:00:00,0 days 08:06:00,11.964240317980053,5775.0
value_y,4.877777777777778,0.0,0.0,106.0,0 days 00:00:00,0 days 17:41:00,13.70731707048992,7024.0
value_x,4.270138888888889,0.0,0.0,104.0,0 days 00:00:00,0 days 10:17:00,13.727161612266094,6149.0
value_y,3.1305555555555555,0.0,0.0,109.0,0 days 00:00:00,0 days 10:54:00,10.717208193517912,4508.0
value_x,4.902083333333334,0.0,0.0,113.0,0 days 00:00:00,0 days 18:16:00,14.863455278449036,7059.0
value_y,10.57986111111111,0.0,0.0,119.0,0 days 00:00:00,0 days 15:33:00,20.73146108660511,15235.0
value_x,7.0875,0.0,0.0,116.0,0 days 00:00:00,0 days 09:00:00,17.631447657257713,10206.0
value_y,5.2375,0.0,0.0,98.0,0 days 00:00:00,0 days 16:12:00,13.660704742630344,7542.0
value_x,4.3375,0.0,0.0,106.0,0 days 00:00:00,0 days 07:14:00,12.604310430073165,6246.0
value_y,3.9881944444444444,0.0,0.0,98.0,0 days 00:00:00,0 days 06:58:00,11.695428307583045,5743.0
value_x,3.672222222222222,0.0,0.0,90.0,0 days 00:00:00,0 days 13:05:00,12.324636166184856,5288.0
value_y,2.5659722222222223,0.0,0.0,95.0,0 days 00:00:00,0 days 11:54:00,9.310030780472683,3695.0
value_x,1.7270833333333333,0.0,0.0,60.0,0 days 00:00:00,0 days 16:40:00,6.356325951671421,2487.0
value_y,4.382638888888889,0.0,0.0,90.0,0 days 00:00:00,0 days 07:48:00,12.372944715216232,6311.0
value_x,1.8138888888888889,0.0,0.0,109.0,0 days 00:00:00,0 days 09:36:00,8.17052968914056,2612.0
value_y,2.8381944444444445,0.0,0.0,104.0,0 days 00:00:00,0 days 08:53:00,10.402707835110977,4087.0
value_x,4.2243055555555555,0.0,0.0,112.0,0 days 00:00:00,0 days 10:57:00,11.915341554236031,6083.0
value_y,2.9409722222222223,0.0,0.0,84.0,0 days 00:00:00,0 days 10:21:00,10.827216582715996,4235.0
value_x,3.140277777777778,0.0,0.0,90.0,0 days 00:00:00,0 days 18:44:00,10.380183179572478,4522.0
value_y,5.053472222222222,0.0,0.0,102.0,0 days 00:00:00,0 days 13:41:00,13.277674957820654,7277.0
value_x,3.682638888888889,0.0,0.0,83.0,0 days 00:00:00,0 days 19:06:00,11.13602690306107,5303.0
value_y,3.45,0.0,0.0,89.0,0 days 00:00:00,0 days 12:20:00,11.015006505278485,4968.0
value_x,4.008333333333334,0.0,0.0,97.0,0 days 00:00:00,0 days 08:07:00,12.339473770207658,5772.0
value_y,2.2888888888888888,0.0,0.0,71.0,0 days 00:00:00,0 days 17:31:00,7.868967834201192,3296.0
value_x,2.982638888888889,0.0,0.0,87.0,0 days 00:00:00,0 days 19:05:00,9.600735652415514,4295.0
value_y,3.557638888888889,0.0,0.0,100.0,0 days 00:00:00,0 days 12:11:00,11.016293951860076,5123.0
value_x,0.44722222222222224,0.0,0.0,50.0,0 days 00:00:00,0 days 07:37:00,3.5332225366258743,644.0
value_y,8.68125,0.0,0.0,112.0,0 days 00:00:00,0 days 08:51:00,19.570060768735704,12501.0
value_x,4.475694444444445,0.0,0.0,109.0,0 days 00:00:00,0 days 07:52:00,13.761826660755897,6445.0
value_y,5.049305555555556,0.0,0.0,106.0,0 days 00:00:00,0 days 07:23:00,13.29521274503563,7271.0
value_x,5.524305555555555,0.0,0.0,110.0,0 days 00:00:00,0 days 20:39:00,14.326995015522717,7955.0
value_y,6.420138888888889,0.0,0.0,101.0,0 days 00:00:00,0 days 18:26:00,15.730726119526349,9245.0
value_x,5.082638888888889,0.0,0.0,87.0,0 days 00:00:00,0 days 13:08:00,13.552901675677878,7319.0
value_y,5.041666666666667,0.0,0.0,104.0,0 days 00:00:00,0 days 07:32:00,14.13209546766359,7260.0
value_x,6.225694444444445,0.0,0.0,101.0,0 days 00:00:00,0 days 10:31:00,15.496096693071626,8965.0
value_y,5.382638888888889,0.0,0.0,101.0,0 days 00:00:00,0 days 18:09:00,13.579461814205388,7751.0
value_x,6.41875,0.0,0.0,100.0,0 days 00:00:00,0 days 13:12:00,15.560558775389872,9243.0
value_y,4.960416666666666,0.0,0.0,90.0,0 days 00:00:00,0 days 17:19:00,12.807136858682572,7143.0
value_x,5.439583333333333,0.0,0.0,100.0,0 days 00:00:00,0 days 20:49:00,14.227837910667619,7833.0
value_y,6.428472222222222,0.0,0.0,113.0,0 days 00:00:00,0 days 18:15:00,16.31501550144199,9257.0
value_x,7.815277777777778,0.0,0.0,108.0,0 days 00:00:00,0 days 08:17:00,17.563443300674763,11254.0
value_y,6.154861111111111,0.0,0.0,88.0,0 days 00:00:00,0 days 12:15:00,14.64418063218027,8863.0
value,4.138888888888889,0.0,0.0,100.0,0 days 00:00:00,0 days 18:09:00,12.522730471934018,5960.0
